T_intended,T_requested,T_REC,94,131,171,193,211,304,335,Magnetogram
2020-04-24T12:00:00Z,2020-04-24T12:00:00Z,2020-04-24T11:59:59Z,2020-04-24T115959Z/aia.lev1_euv_12s.2020-04-24T120001Z.94.image_lev1.fits,2020-04-24T115959Z/aia.lev1_euv_12s.2020-04-24T120008Z.131.image_lev1.fits,2020-04-24T115959Z/aia.lev1_euv_12s.2020-04-24T120010Z.171.image_lev1.fits,2020-04-24T115959Z/aia.lev1_euv_12s.2020-04-24T120006Z.193.image_lev1.fits,2020-04-24T115959Z/aia.lev1_euv_12s.2020-04-24T115959Z.211.image_lev1.fits,2020-04-24T115959Z/aia.lev1_euv_12s.2020-04-24T120007Z.304.image_lev1.fits,2020-04-24T115959Z/aia.lev1_euv_12s.2020-04-24T120002Z.335.image_lev1.fits,2020-04-24T115959Z/hmi.m_720s.20200424_120000_TAI.3.magnetogram.fits
2020-04-25T12:00:00Z,2020-04-25T12:00:00Z,2020-04-25T11:59:59Z,2020-04-25T115959Z/aia.lev1_euv_12s.2020-04-25T120001Z.94.image_lev1.fits,2020-04-25T115959Z/aia.lev1_euv_12s.2020-04-25T120008Z.131.image_lev1.fits,2020-04-25T115959Z/aia.lev1_euv_12s.2020-04-25T120010Z.171.image_lev1.fits,2020-04-25T115959Z/aia.lev1_euv_12s.2020-04-25T120006Z.193.image_lev1.fits,2020-04-25T115959Z/aia.lev1_euv_12s.2020-04-25T115959Z.211.image_lev1.fits,2020-04-25T115959Z/aia.lev1_euv_12s.2020-04-25T120007Z.304.image_lev1.fits,2020-04-25T115959Z/aia.lev1_euv_12s.2020-04-25T120002Z.335.image_lev1.fits,2020-04-25T115959Z/hmi.m_720s.20200425_120000_TAI.3.magnetogram.fits
2020-04-26T12:00:00Z,2020-04-26T12:00:00Z,2020-04-26T11:59:59Z,2020-04-26T115959Z/aia.lev1_euv_12s.2020-04-26T120001Z.94.image_lev1.fits,2020-04-26T115959Z/aia.lev1_euv_12s.2020-04-26T120008Z.131.image_lev1.fits,2020-04-26T115959Z/aia.lev1_euv_12s.2020-04-26T120010Z.171.image_lev1.fits,2020-04-26T115959Z/aia.lev1_euv_12s.2020-04-26T120006Z.193.image_lev1.fits,2020-04-26T115959Z/aia.lev1_euv_12s.2020-04-26T115959Z.211.image_lev1.fits,2020-04-26T115959Z/aia.lev1_euv_12s.2020-04-26T120007Z.304.image_lev1.fits,2020-04-26T115959Z/aia.lev1_euv_12s.2020-04-26T120002Z.335.image_lev1.fits,2020-04-26T115959Z/hmi.m_720s.20200426_120000_TAI.3.magnetogram.fits
2020-04-27T12:00:00Z,2020-04-27T12:00:00Z,2020-04-27T11:59:59Z,2020-04-27T115959Z/aia.lev1_euv_12s.2020-04-27T120001Z.94.image_lev1.fits,2020-04-27T115959Z/aia.lev1_euv_12s.2020-04-27T120008Z.131.image_lev1.fits,2020-04-27T115959Z/aia.lev1_euv_12s.2020-04-27T120010Z.171.image_lev1.fits,2020-04-27T115959Z/aia.lev1_euv_12s.2020-04-27T120006Z.193.image_lev1.fits,2020-04-27T115959Z/aia.lev1_euv_12s.2020-04-27T115959Z.211.image_lev1.fits,2020-04-27T115959Z/aia.lev1_euv_12s.2020-04-27T120007Z.304.image_lev1.fits,2020-04-27T115959Z/aia.lev1_euv_12s.2020-04-27T120002Z.335.image_lev1.fits,2020-04-27T115959Z/hmi.m_720s.20200427_120000_TAI.3.magnetogram.fits
2020-04-28T12:00:00Z,2020-04-28T11:48:00Z,2020-04-28T11:47:59Z,2020-04-28T114759Z/aia.lev1_euv_12s.2020-04-28T114801Z.94.image_lev1.fits,2020-04-28T114759Z/aia.lev1_euv_12s.2020-04-28T114808Z.131.image_lev1.fits,2020-04-28T114759Z/aia.lev1_euv_12s.2020-04-28T114810Z.171.image_lev1.fits,2020-04-28T114759Z/aia.lev1_euv_12s.2020-04-28T114806Z.193.image_lev1.fits,2020-04-28T114759Z/aia.lev1_euv_12s.2020-04-28T114759Z.211.image_lev1.fits,2020-04-28T114759Z/aia.lev1_euv_12s.2020-04-28T114807Z.304.image_lev1.fits,2020-04-28T114759Z/aia.lev1_euv_12s.2020-04-28T114802Z.335.image_lev1.fits,2020-04-28T114759Z/hmi.m_720s.20200428_114800_TAI.3.magnetogram.fits
2020-04-29T12:00:00Z,2020-04-29T12:00:00Z,2020-04-29T11:59:59Z,2020-04-29T115959Z/aia.lev1_euv_12s.2020-04-29T120001Z.94.image_lev1.fits,2020-04-29T115959Z/aia.lev1_euv_12s.2020-04-29T120008Z.131.image_lev1.fits,2020-04-29T115959Z/aia.lev1_euv_12s.2020-04-29T120010Z.171.image_lev1.fits,2020-04-29T115959Z/aia.lev1_euv_12s.2020-04-29T120006Z.193.image_lev1.fits,2020-04-29T115959Z/aia.lev1_euv_12s.2020-04-29T115959Z.211.image_lev1.fits,2020-04-29T115959Z/aia.lev1_euv_12s.2020-04-29T120007Z.304.image_lev1.fits,2020-04-29T115959Z/aia.lev1_euv_12s.2020-04-29T120002Z.335.image_lev1.fits,2020-04-29T115959Z/hmi.m_720s.20200429_120000_TAI.3.magnetogram.fits
2020-04-30T12:00:00Z,2020-04-30T12:00:00Z,2020-04-30T11:59:59Z,2020-04-30T115959Z/aia.lev1_euv_12s.2020-04-30T120001Z.94.image_lev1.fits,2020-04-30T115959Z/aia.lev1_euv_12s.2020-04-30T120008Z.131.image_lev1.fits,2020-04-30T115959Z/aia.lev1_euv_12s.2020-04-30T120010Z.171.image_lev1.fits,2020-04-30T115959Z/aia.lev1_euv_12s.2020-04-30T120006Z.193.image_lev1.fits,2020-04-30T115959Z/aia.lev1_euv_12s.2020-04-30T115959Z.211.image_lev1.fits,2020-04-30T115959Z/aia.lev1_euv_12s.2020-04-30T120007Z.304.image_lev1.fits,2020-04-30T115959Z/aia.lev1_euv_12s.2020-04-30T120002Z.335.image_lev1.fits,2020-04-30T115959Z/hmi.m_720s.20200430_120000_TAI.3.magnetogram.fits
2020-05-01T12:00:00Z,2020-05-01T12:00:00Z,2020-05-01T11:59:59Z,2020-05-01T115959Z/aia.lev1_euv_12s.2020-05-01T120001Z.94.image_lev1.fits,2020-05-01T115959Z/aia.lev1_euv_12s.2020-05-01T120008Z.131.image_lev1.fits,2020-05-01T115959Z/aia.lev1_euv_12s.2020-05-01T120010Z.171.image_lev1.fits,2020-05-01T115959Z/aia.lev1_euv_12s.2020-05-01T120006Z.193.image_lev1.fits,2020-05-01T115959Z/aia.lev1_euv_12s.2020-05-01T115959Z.211.image_lev1.fits,2020-05-01T115959Z/aia.lev1_euv_12s.2020-05-01T120007Z.304.image_lev1.fits,2020-05-01T115959Z/aia.lev1_euv_12s.2020-05-01T120002Z.335.image_lev1.fits,2020-05-01T115959Z/hmi.m_720s.20200501_120000_TAI.3.magnetogram.fits
2020-05-02T12:00:00Z,2020-05-02T12:00:00Z,2020-05-02T11:59:59Z,2020-05-02T115959Z/aia.lev1_euv_12s.2020-05-02T120001Z.94.image_lev1.fits,2020-05-02T115959Z/aia.lev1_euv_12s.2020-05-02T120008Z.131.image_lev1.fits,2020-05-02T115959Z/aia.lev1_euv_12s.2020-05-02T120010Z.171.image_lev1.fits,2020-05-02T115959Z/aia.lev1_euv_12s.2020-05-02T120006Z.193.image_lev1.fits,2020-05-02T115959Z/aia.lev1_euv_12s.2020-05-02T115959Z.211.image_lev1.fits,2020-05-02T115959Z/aia.lev1_euv_12s.2020-05-02T120007Z.304.image_lev1.fits,2020-05-02T115959Z/aia.lev1_euv_12s.2020-05-02T120002Z.335.image_lev1.fits,2020-05-02T115959Z/hmi.m_720s.20200502_120000_TAI.3.magnetogram.fits
2020-05-03T12:00:00Z,2020-05-03T12:00:00Z,2020-05-03T11:59:59Z,2020-05-03T115959Z/aia.lev1_euv_12s.2020-05-03T120001Z.94.image_lev1.fits,2020-05-03T115959Z/aia.lev1_euv_12s.2020-05-03T120008Z.131.image_lev1.fits,2020-05-03T115959Z/aia.lev1_euv_12s.2020-05-03T120010Z.171.image_lev1.fits,2020-05-03T115959Z/aia.lev1_euv_12s.2020-05-03T120006Z.193.image_lev1.fits,2020-05-03T115959Z/aia.lev1_euv_12s.2020-05-03T115959Z.211.image_lev1.fits,2020-05-03T115959Z/aia.lev1_euv_12s.2020-05-03T120007Z.304.image_lev1.fits,2020-05-03T115959Z/aia.lev1_euv_12s.2020-05-03T120002Z.335.image_lev1.fits,2020-05-03T115959Z/hmi.m_720s.20200503_120000_TAI.3.magnetogram.fits
